,user_id,transaction_dt,type,segment
0,MLB410542856680,2022-01-20 23:05:07.884739087,9,2
1,MLB10610169410,2022-02-06 07:55:58.674812703,1,1
2,MLB7813965430,2022-01-25 17:08:53.753615635,6,1
3,MLB410646227340,2022-01-28 00:00:00.000000000,8,2
4,MLB10664964390,2022-02-02 19:04:18.359600977,7,1
5,MLB8186171120,2022-01-22 07:17:30.472817589,7,1
6,MLB179933580,2022-02-08 17:08:53.753615635,7,1
7,MLB10637954920,2022-02-06 03:38:45.236408794,6,1
8,MLB1036816120,2022-02-18 10:56:15.709226384,6,1
9,MLB43350248620,2022-01-10 21:15:23.654217261,9,2
10,MLB410640120820,2022-02-02 21:42:49.711847718,9,2
11,MLB3895229180,2022-01-27 04:17:13.438403908,5,1
12,MLB7582420070,2022-01-13 18:25:50.157605863,6,1
13,MLB10509231250,2022-01-19 00:00:00.000000000,7,1
14,MLB7453621570,2022-02-13 06:00:34.068827362,2,1
15,MLB5284798670,2022-01-06 00:00:00.000000000,4,1
16,MLB3366058330,2022-01-18 12:51:40.315211726,1,1
17,MLB10176461700,2022-01-20 00:00:00.000000000,2,1
18,MLB8295268290,2022-01-25 14:08:36.719201954,4,1
19,MLB10187020580,2022-02-13 22:04:35.394014658,1,1
20,MLB10611123330,2022-02-02 03:38:45.236408794,6,1
21,MLB289503870,2022-01-16 07:55:58.674812703,1,1
22,MLB6701311930,2022-01-19 08:34:26.876807817,5,1
23,MLB3350248620-1,2022-01-09 18:25:50.157605863,7,1
24,MLB10610419360,2022-02-07 13:30:08.517206840,7,1
25,MLB10643950990,2022-02-17 06:39:02.270822476,6,1
26,MLB10086396820,2022-01-31 23:21:31.798004886,2,1
27,MLB7688760560,2022-01-18 11:34:43.911221498,5,1
28,MLB4093238390,2022-01-04 23:21:31.798004886,2,1
29,MLB10554685650,,7,1
30,MLB10562831920,2022-02-03 15:51:57.349625407,4,1
31,MLB410118139040,2022-01-09 23:05:07.884739087,9,2
32,MLB7082972530,2022-01-31 07:17:30.472817589,1,1
33,MLB10607905150,2022-01-21 19:04:18.359600977,5,1
34,MLB8188097910,2022-01-22 00:00:00.000000000,2,1
35,MLB46107167150,2022-01-21 21:42:49.711847718,9,2
36,MLB7710090620,2022-01-20 19:04:18.359600977,5,1
37,MLB2274271190-1,2022-02-05 17:47:21.955610749,5,1
38,MLB10602296700,2022-01-23 23:21:31.798004886,6,1
39,MLB7720528580,2022-02-15 10:56:15.709226384,4,1
40,MLB10647858090,2022-01-31 04:17:13.438403908,1,1
41,MLB10561963770,2022-01-31 06:39:02.270822476,7,1
42,MLB410141212210,2022-02-19 13:01:34.616869047,9,2
43,MLB10614296680,2022-01-25 23:21:31.798004886,5,1
44,MLB410641019420,2022-01-27 00:00:00.000000000,9,2
45,MLB10592346490,2022-01-18 00:00:00.000000000,7,1
46,MLB10549699030,2022-01-28 18:25:50.157605863,4,1
47,MLB10573174080,2022-01-29 03:00:17.034413681,6,1
48,MLB6035065450,2022-01-25 02:21:48.832418567,6,1
49,MLB10609951120-1,2022-02-11 20:47:38.990024430,6,1
50,MLB1419389610,2022-01-19 16:30:25.551620521,3,1
51,MLB2462336030,2022-01-28 03:38:45.236408794,5,1
52,MLB4741217540,2022-02-18 10:56:15.709226384,4,1
53,MLB10610751790,2022-02-09 01:43:20.630423453,3,1
54,MLB10597144360-1,2022-01-23 18:25:50.157605863,7,1
55,MLB10570013550,2022-01-14 19:04:18.359600977,5,1
56,MLB7710157500,2022-01-18 04:17:13.438403908,6,1
57,MLB10035808590,2022-01-09 08:34:26.876807817,1,1
58,MLB10495482340,2022-01-13 07:55:58.674812703,4,1
59,MLB10524272840,2022-01-31 07:55:58.674812703,7,1
60,MLB10601835380,2022-01-31 22:04:35.394014658,3,1
61,MLB8232941300,2022-01-16 22:43:03.596009772,2,1
62,MLB2810566260,2022-01-20 12:13:12.113216612,3,1
63,MLB2592894450,2022-01-13 09:12:55.078802931,5,1
64,MLB4110698060,2022-01-28 04:17:13.438403908,5,1
65,MLB41045529450,2022-01-09 00:00:00.000000000,8,2
66,MLB4469172360,2022-01-07 14:08:36.719201954,4,1
67,MLB10630198100-1,2022-02-01 03:38:45.236408794,5,1
68,MLB10515966100,2022-01-21 04:17:13.438403908,6,1
69,MLB10548723180,2022-01-15 04:17:13.438403908,5,1
70,MLB410501999800,2022-01-18 17:08:29.135543154,9,2
71,MLB10563464120,2022-02-03 20:47:38.990024430,2,1
72,MLB10554636740-1,2022-01-22 12:51:40.315211726,5,1
73,MLB3256000850,2022-02-01 22:43:03.596009772,6,1
74,MLB2046839440,2022-01-26 09:12:55.078802931,4,1
75,MLB10597144360-1,2022-01-23 18:25:50.157605863,1,1
76,MLB3120760160,2022-02-04 22:04:35.394014658,7,1
77,MLB779564990,2022-02-01 01:43:20.630423453,7,1
78,MLB10520782780,2022-01-29 01:04:52.428428339,4,1
79,MLB410210443370,2022-02-23 20:47:57.596586805,9,2
80,MLB10636196380,2022-02-10 22:43:03.596009772,4,1
81,MLB410552253500,2022-01-11 23:32:33.942369543,8,2
82,MLB7664001470,2022-01-08 00:00:00.000000000,5,1
83,MLB10565586390,2022-01-17 18:25:50.157605863,1,1
84,MLB10419005660,2022-02-03 18:25:50.157605863,3,1
85,MLB4623991670,2022-01-12 09:12:55.078802931,1,1
86,MLB10622114800,2022-02-03 22:43:03.596009772,1,1
87,MLB8358573860,2022-02-02 12:51:40.315211726,2,1
88,MLB410504615100,2022-01-10 23:05:07.884739087,8,2
89,MLB2438237160,2022-01-10 18:25:50.157605863,3,1
90,MLB41755703540,2022-01-17 19:25:39.423695436,8,2
91,MLB548009100,2022-02-08 17:08:53.753615635,5,1
92,MLB1147298420,2022-01-24 07:17:30.472817589,6,1
93,MLB10612948920,2022-01-26 18:25:50.157605863,1,1
94,MLB10575764810-1,2022-01-21 04:17:13.438403908,2,1
95,MLB7874270810,2022-01-04 19:04:18.359600977,4,1
96,MLB2280754010,2022-02-07 09:12:55.078802931,4,1
97,MLB10613133910,2022-01-23 00:00:00.000000000,6,1
98,MLB2642162970,2022-01-29 00:00:00.000000000,2,1
99,MLB10533862970,2022-01-14 23:21:31.798004886,5,1
100,MLB410453103620,2022-02-12 18:58:13.366064980,9,2
101,MLB10555069280,2022-01-12 19:04:18.359600977,3,1
102,MLB10337394880,2022-01-29 14:08:36.719201954,5,1
103,MLB8407598470,2022-02-04 07:17:30.472817589,4,1
104,MLB6275545660,2022-02-13 18:52:14.384039088,2,1
105,MLB10517649490,2022-01-10 19:04:18.359600977,7,1
106,MLB10524272840,2022-01-31 07:55:58.674812703,5,1
107,MLB49124181280,2022-01-27 20:47:57.596586805,9,2
108,MLB2472393900,2022-02-05 06:39:02.270822476,7,1
109,MLB10663766840,2022-02-03 04:17:13.438403908,2,1
110,MLB2462336030,2022-01-28 03:38:45.236408794,7,1
111,MLB10289937940,2022-02-14 03:00:17.034413681,3,1
112,MLB7502120130,2022-01-21 23:21:31.798004886,7,1
113,MLB1546326120,2022-01-23 18:25:50.157605863,5,1
114,MLB410596502300,2022-02-06 15:18:44.905021329,9,2
115,MLB1711556350,2022-01-26 08:34:26.876807817,3,1
116,MLB6381911920,2022-02-20 01:04:52.428428339,3,1
117,MLB42280754010,2022-02-07 22:37:41.827108630,8,2
118,MLB10569013830,2022-01-23 13:30:08.517206840,6,1
119,MLB293242280,2022-01-25 22:04:35.394014658,3,1
120,MLB10639901700,2022-02-16 20:47:38.990024430,6,1
121,MLB10655448410,2022-02-06 22:43:03.596009772,4,1
122,MLB41313586300,2022-02-05 21:15:23.654217261,8,2
123,MLB6563189080,2022-01-25 08:34:26.876807817,1,1
124,MLB10505012520,2022-01-15 19:04:18.359600977,5,1
125,MLB10664088530,2022-02-14 07:17:30.472817589,1,1
126,MLB5752030370,2022-02-06 22:43:03.596009772,6,1
127,MLB2810566260,2022-01-20 12:13:12.113216612,1,1
128,MLB265252640,2022-02-22 17:08:53.753615635,2,1
129,MLB4623991670,2022-01-12 09:12:55.078802931,1,1
130,MLB4735384670,2022-01-29 06:00:34.068827362,2,1
131,MLB47684629722,2022-01-26 19:25:39.423695436,8,2
132,MLB10465471180-1,2022-02-12 10:56:15.709226384,5,1
133,MLB10652759840,2022-02-19 10:56:15.709226384,6,1
134,MLB45335992530,2022-02-07 21:15:23.654217261,9,2
135,MLB265252640,2022-02-22 17:08:53.753615635,2,1
136,MLB10528226180,2022-01-26 17:47:21.955610749,6,1
137,MLB41036816120,2022-02-23 11:39:16.443977678,9,2
138,MLB3476460370,2022-01-24 06:00:34.068827362,1,1
139,MLB10601381930,2022-02-03 17:08:53.753615635,5,1
140,MLB44941261340,2022-01-18 19:53:05.481325892,9,2
141,MLB10636892520-1,2022-02-05 22:43:03.596009772,2,1
142,MLB10648893600-1,2022-01-31 09:12:55.078802931,6,1
143,MLB6820134400,2022-01-29 13:30:08.517206840,1,1
144,MLB3101033580,2022-02-02 10:56:15.709226384,4,1
145,MLB10532389620,2022-01-16 17:47:21.955610749,5,1
146,MLB10570013550-1,2022-01-14 19:04:18.359600977,3,1
147,MLB1833763830,2022-01-12 12:51:40.315211726,7,1
148,MLB46266191450,2022-02-21 17:35:55.193173610,9,2
149,MLB8407598470-1,2022-02-04 07:17:30.472817589,5,1
150,MLB10592033580,2022-01-21 09:12:55.078802931,1,1
151,MLB41291948010,2022-01-29 17:35:55.193173610,9,2
152,MLB10558249570,2022-01-19 03:38:45.236408794,6,1
153,MLB10565056080,2022-01-21 03:38:45.236408794,5,1
154,MLB410613052850,2022-02-08 21:42:49.711847718,9,2
155,MLB2683679600,2022-01-17 19:04:18.359600977,4,1
156,MLB3895229180,2022-01-27 04:17:13.438403908,6,1
157,MLB10571656040,2022-01-28 07:55:58.674812703,7,1
158,MLB10604903980,2022-01-26 08:34:26.876807817,5,1
159,MLB42249026390,2022-01-18 19:53:05.481325892,9,2
160,MLB6816356250,2022-02-08 19:04:18.359600977,6,1
161,MLB2298021700,2022-01-31 09:12:55.078802931,5,1
162,MLB10589263600,2022-01-27 17:47:21.955610749,7,1
163,MLB1331323180,2022-01-14 08:34:26.876807817,4,1
164,MLB2907014500,2022-02-06 17:08:53.753615635,7,1
165,MLB10515335110,2022-01-12 03:38:45.236408794,7,1
166,MLB10583866400,2022-01-24 03:38:45.236408794,6,1
167,MLB10535920500,2022-01-09 14:08:36.719201954,7,1
168,MLB2907014500,2022-02-06 17:08:53.753615635,1,1
169,MLB7624135420,2022-02-13 16:30:25.551620521,6,1
170,MLB46107167150,2022-01-21 21:42:49.711847718,9,2
171,MLB6044521330,2022-01-28 09:12:55.078802931,4,1
172,MLB3366058330,2022-01-18 12:51:40.315211726,3,1
173,MLB5258640550,2022-02-16 20:47:38.990024430,7,1
174,MLB3837569220,2022-01-02 19:04:18.359600977,3,1
175,MLB1962163990,2022-01-15 17:47:21.955610749,5,1
176,MLB10605131400,2022-02-15 11:34:43.911221498,7,1
177,MLB410597669130,2022-01-27 20:47:57.596586805,8,2
178,MLB3100705450,2022-01-24 01:43:20.630423453,1,1
179,MLB47382891700,2022-01-20 18:30:47.308434523,8,2
180,MLB10490279080,2022-01-12 14:08:36.719201954,4,1
181,MLB2411561170,2022-02-08 07:55:58.674812703,7,1
182,MLB410620325410,2022-01-26 22:10:15.769478174,9,2
183,MLB512906040,2022-02-02 17:47:21.955610749,1,1
184,MLB10528226180,2022-01-26 17:47:21.955610749,4,1
185,MLB410654234110,2022-02-06 00:00:00.000000000,9,2
186,MLB10542953110,2022-01-17 22:43:03.596009772,7,1
187,MLB410522340770,2022-01-25 18:03:21.250804067,8,2
188,MLB4110698060,2022-01-28 04:17:13.438403908,1,1
189,MLB8135816300,2022-01-24 08:34:26.876807817,6,1
190,MLB10176842010,2022-02-17 19:04:18.359600977,4,1
191,MLB2829289380,2022-01-10 09:12:55.078802931,4,1
192,MLB10596492420,2022-01-26 00:00:00.000000000,7,1
193,MLB10609284680,2022-01-25 23:21:31.798004886,1,1
194,MLB10608536990,2022-02-13 01:04:52.428428339,5,1
195,MLB10617575110,2022-02-01 12:51:40.315211726,7,1
196,MLB7382891700,2022-01-18 12:51:40.315211726,1,1
197,MLB10465471180,2022-02-12 10:56:15.709226384,5,1
198,MLB10612948920,2022-01-26 18:25:50.157605863,3,1
199,MLB2810566260,2022-01-20 12:13:12.113216612,5,1
200,MLB10637618270,2022-02-01 08:34:26.876807817,5,1
201,MLB7986941990,2022-02-16 08:34:26.876807817,7,1
202,MLB10651939500,2022-02-09 18:25:50.157605863,6,1
203,MLB10609729010,2022-02-03 07:55:58.674812703,2,1
204,MLB10516337700,2022-01-06 14:08:36.719201954,4,1
205,MLB10332122770,2022-01-30 07:55:58.674812703,6,1
206,MLB603464020,2022-01-20 13:30:08.517206840,7,1
207,MLB10571050930,2022-01-24 18:25:50.157605863,5,1
208,MLB10562315630,2022-01-21 17:47:21.955610749,5,1
209,MLB410545256920,2022-01-13 22:10:15.769478174,8,2
210,MLB10634391100,2022-02-14 20:47:38.990024430,7,1
211,MLB6784784420,2022-01-29 10:17:47.507231271,7,1
212,MLB410585675640,2022-02-08 20:47:57.596586805,8,2
213,MLB47561636822,2022-01-31 18:58:13.366064980,9,2
214,MLB3350248620,2022-01-09 18:25:50.157605863,1,1
215,MLB410636892520,2022-02-07 19:25:39.423695436,8,2
216,MLB10664596910,2022-02-24 06:00:34.068827362,4,1
217,MLB10453860660,2022-01-07 19:04:18.359600977,1,1
218,MLB10613507160,2022-02-12 10:56:15.709226384,6,1
219,MLB10578640420,2022-01-27 03:00:17.034413681,6,1
220,MLB7616885720,2022-02-02 12:51:40.315211726,2,1
221,MLB359739760,2022-01-25 04:17:13.438403908,1,1
222,MLB10600039960,2022-01-27 03:38:45.236408794,2,1
223,MLB10584992340,2022-01-27 07:55:58.674812703,3,1
224,MLB3900196000-1,2022-01-11 14:08:36.719201954,3,1
225,MLB2197809130-1,2022-01-23 17:47:21.955610749,2,1
226,MLB410548293280,2022-02-11 19:25:39.423695436,9,2
227,MLB3678841980,2022-01-25 00:00:00.000000000,7,1
228,MLB10416154500,2022-01-17 17:47:21.955610749,2,1
229,MLB10645703450,2022-02-08 03:00:17.034413681,2,1
230,MLB41284689122,2022-01-28 20:47:57.596586805,9,2
231,MLB10364583030,2022-01-24 22:04:35.394014658,2,1
232,MLB10563464120,2022-02-03 20:47:38.990024430,3,1
233,MLB10580445050,2022-01-24 17:47:21.955610749,1,1
234,MLB7082972530,2022-01-31 07:17:30.472817589,3,1
235,MLB410495770230,2022-01-23 13:29:00.674499503,8,2
236,MLB10535722320,2022-01-30 07:55:58.674812703,7,1
237,MLB6777253570,2022-01-29 19:04:18.359600977,3,1
238,MLB410034178550,2022-02-05 22:37:41.827108630,8,2
239,MLB10516507400,2022-01-07 00:00:00.000000000,1,1
240,MLB7710090620,2022-01-20 19:04:18.359600977,2,1
241,MLB10552333880,2022-01-21 03:38:45.236408794,7,1
242,MLB2516877170,2022-02-05 07:55:58.674812703,2,1
243,MLB10585675640,2022-02-07 13:30:08.517206840,3,1
244,MLB10571240970,2022-02-01 04:17:13.438403908,2,1
245,MLB410610750720,2022-01-31 21:15:23.654217261,9,2
246,MLB10505782870,2022-01-06 09:12:55.078802931,6,1
247,MLB10538179450,2022-01-09 00:00:00.000000000,6,1
248,MLB10498379590,2022-01-10 22:43:03.596009772,2,1
249,MLB2077770500,2022-02-04 06:39:02.270822476,2,1
250,MLB1313586300,2022-02-04 18:25:50.157605863,6,1
251,MLB410227282080,2022-01-28 20:20:31.538956349,9,2
252,MLB10562598730,2022-01-13 00:00:00.000000000,2,1
253,MLB10535308100,2022-01-10 19:04:18.359600977,5,1
254,MLB10552253500,2022-01-11 19:04:18.359600977,2,1
255,MLB10516073750,2022-01-10 18:25:50.157605863,7,1
256,MLB7927630990,2022-02-02 22:04:35.394014658,7,1
257,MLB3218137580,2022-01-20 13:30:08.517206840,1,1
258,MLB48035171870,2022-02-06 16:13:37.020282241,9,2
259,MLB1521393840,2022-02-06 08:34:26.876807817,1,1
260,MLB410589124890,2022-02-05 21:15:23.654217261,8,2
261,MLB48186171120,2022-01-25 15:46:10.962651785,8,2
262,MLB10651939500,2022-02-09 18:25:50.157605863,7,1
263,MLB10574688610,2022-01-17 19:04:18.359600977,6,1
264,MLB10549287030,2022-01-21 07:55:58.674812703,6,1
265,MLB5661699300,2022-02-02 23:21:31.798004886,3,1
266,MLB10586033980,2022-01-24 23:21:31.798004886,2,1
267,MLB7119453160,2022-02-03 19:04:18.359600977,4,1
268,MLB3439721590,2022-02-20 03:00:17.034413681,2,1
269,MLB410548293280,2022-02-11 19:25:39.423695436,9,2
270,MLB10620325410,2022-01-26 04:17:13.438403908,7,1
271,MLB10583809020,2022-01-20 14:08:36.719201954,1,1
272,MLB10641167180,2022-01-28 14:08:36.719201954,2,1
273,MLB1739682480-1,2022-02-01 23:21:31.798004886,7,1
274,MLB10634966210,2022-02-16 12:13:12.113216612,2,1
275,MLB1491084700,2022-01-31 14:08:36.719201954,5,1
276,MLB1739682480-1,2022-02-01 23:21:31.798004886,2,1
277,MLB10591032040,2022-02-01 18:25:50.157605863,4,1
278,MLB10643795670,2022-01-30 14:08:36.719201954,5,1
279,MLB410555485110,2022-01-13 00:00:00.000000000,9,2
280,MLB410614829650,2022-01-26 21:42:49.711847718,8,2
281,MLB10554636740,2022-01-22 12:51:40.315211726,7,1
282,MLB10513469680,2022-01-19 12:51:40.315211726,5,1
